pnumber tnumber num_reg talgorithm tlabel tlabel_max tlabel_seed tlabel_non_frontier ttravel ttreparation
1000000 1997497 322109 17 13 13 0 0 0 4
1000000 1997497 322109 17 13 13 0 0 0 4
1000000 1997497 322109 17 13 13 0 0 0 4
1000000 1997497 322109 17 13 13 0 0 0 4
1000000 1997497 322109 17 13 13 0 0 0 4
1500000 2996998 483583 26 20 19 0 0 0 6
1500000 2996998 483583 26 20 19 0 0 0 6
1000000 1997497 322109 17 13 13 0 0 0 4
1500000 2996998 483583 25 20 19 0 0 0 5
1500000 2996998 483583 26 20 19 0 0 0 6
1500000 2996998 483583 26 20 19 0 0 0 6
1500000 2996998 483583 25 20 19 0 0 0 5
2000000 3996489 643624 36 27 26 0 0 0 9
2000000 3996489 643624 36 27 26 0 0 0 9
2000000 3996489 643624 36 27 26 0 0 0 9
2000000 3996489 643624 36 27 26 0 0 0 9
2000000 3996489 643624 36 27 26 0 0 0 9
2000000 3996489 643624 36 27 26 0 0 0 9
2500000 4996057 803994 41 34 32 1 1 0 7
2500000 4996057 803994 44 34 32 1 1 0 10
2500000 4996057 803994 32 25 23 0 0 0 7
2500000 4996057 803994 32 25 23 0 0 0 7
2500000 4996057 803994 41 34 32 1 1 0 7
2500000 4996057 803994 43 34 32 1 1 0 9
3000000 5995708 965310 64 49 47 1 1 0 15
3000000 5995708 965310 41 30 28 0 0 0 11
3000000 5995708 965310 102 88 83 3 1 0 14
3000000 5995708 965310 95 80 73 3 3 0 15
3000000 5995708 965310 54 41 39 1 1 0 13
3000000 5995708 965310 56 41 39 1 1 0 15
3500000 6995379 1126204 48 37 35 1 1 0 11
3500000 6995379 1126204 64 48 45 1 1 0 16
3500000 6995379 1126204 67 48 45 1 1 0 19
3500000 6995379 1126204 54 35 32 1 1 0 19
3500000 6995379 1126204 46 35 33 1 1 0 11
3500000 6995379 1126204 63 48 45 1 1 0 15
4000000 7995046 1287214 182 120 116 2 2 0 62
4000000 7995046 1287214 121 106 98 3 4 0 15
4000000 7995046 1287214 55 40 37 1 1 0 15
4000000 7995046 1287214 84 58 53 3 1 0 26
4000000 7995046 1287214 75 55 52 1 1 0 20
4000000 7995046 1287214 75 55 51 1 1 0 20
4500000 8994746 1448682 117 58 55 1 1 0 59
4500000 8994746 1448682 73 59 53 3 1 0 14
4500000 8994746 1448682 106 66 63 1 1 0 40
4500000 8994746 1448682 59 45 42 1 1 0 14
4500000 8994746 1448682 59 45 42 1 1 0 14
4500000 8994746 1448682 85 65 60 1 3 0 20
5000000 9994512 1610688 89 73 69 1 2 0 16
5000000 9994512 1610688 71 50 47 1 1 0 21
5000000 9994512 1610688 70 52 47 3 1 0 18
5000000 9994512 1610688 66 50 47 1 1 0 16
5000000 9994512 1610688 66 50 47 1 1 0 16
5000000 9994512 1610688 85 67 64 1 1 0 18
5500000 10994213 1771352 98 76 71 2 2 0 22
5500000 10994213 1771352 73 55 51 1 1 0 18
5500000 10994213 1771352 73 55 51 1 1 0 18
5500000 10994213 1771352 73 55 51 1 1 0 18
5500000 10994213 1771352 73 55 51 1 1 0 18
5500000 10994213 1771352 93 75 71 2 2 0 18
6000000 11993906 1932217 79 60 56 1 1 0 19
6000000 11993906 1932217 141 121 113 4 4 0 20
6000000 11993906 1932217 151 132 123 4 4 0 19
6000000 11993906 1932217 94 75 71 1 1 0 19
6000000 11993906 1932217 79 60 56 1 1 0 19
6000000 11993906 1932217 102 82 77 2 2 0 20
6500000 12993683 2093521 90 69 65 2 2 0 21
6500000 12993683 2093521 149 73 64 7 2 0 76
6500000 12993683 2093521 113 92 88 2 2 0 21
6500000 12993683 2093521 113 92 88 2 2 0 21
6500000 12993683 2093521 141 65 61 2 2 0 76
6500000 12993683 2093521 106 85 81 2 2 0 21
7000000 13993456 2254554 119 94 86 4 4 0 25
7000000 13993456 2254554 170 99 94 2 2 0 71
7000000 13993456 2254554 104 70 66 2 2 0 34
7000000 13993456 2254554 93 70 66 2 2 0 23
7000000 13993456 2254554 93 70 66 2 2 0 23
7000000 13993456 2254554 106 84 79 2 2 0 22
7500000 14993186 2415090 147 88 83 2 2 0 59
7500000 14993186 2415090 108 75 70 2 2 0 33
7500000 14993186 2415090 118 94 89 2 2 0 24
7500000 14993186 2415090 111 83 77 2 2 0 28
7500000 14993186 2415090 109 85 80 2 2 0 24
7500000 14993186 2415090 115 91 86 2 2 0 24
8000000 15992910 2576055 114 80 75 2 2 0 34
8000000 15992910 2576055 216 110 104 3 3 0 106
8000000 15992910 2576055 150 113 103 6 2 0 37
8000000 15992910 2576055 132 80 75 2 2 0 52
8000000 15992910 2576055 114 80 75 2 2 0 34
8000000 15992910 2576055 144 110 103 3 3 0 34
